hotel_name,class_rating,rating
Heritage Hotel New York City,Good,7.2
"Club Quarters Hotel, Grand Central",Excellent,8.7
EVEN Hotel New York Times Square South,Awesome,9.0
Nolitan Hotel SoHo - New York,Excellent,8.7
Best Western Premier Herald Square,Very Good,8.5
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,Very Good,8.3
Hilton Garden Inn West 35th Street,Excellent,8.6
Element Times Square West,Very Good,8.0
Four Points by Sheraton Manhattan SoHo Village,Very Good,8.1
Homewood Suites Midtown Manhattan Times Square South,Excellent,8.9
Doubletree By Hilton New York Times Square West,Very Good,8.1
Bridgestreet at Beekman Towers,Very Good,8.1
DoubleTree by Hilton - Chelsea,Good,7.9
Hilton New York Fashion District,Very Good,8.2
Courtyard by Marriott New York Manhattan/Chelsea,Very Good,8.4
U Hotel Fifth Avenue,Good,7.9
DoubleTree by Hilton NYC - Financial District,Good,7.8
Holiday Inn Express New York City Chelsea,Very Good,8.0
Hilton Garden Inn Central Park South,Very Good,8.3
Hilton Garden Inn Times Square,Very Good,8.3
Gramercy Park Hotel,Very Good,8.4
Hotel Lucerne,Very Good,8.5
Hotel Indigo Lower East Side,Excellent,8.7
Carvi Hotel New York,Very Good,8.4
Courtyard by Marriott Times Square West,Excellent,8.6
Novotel New York Times Square,Very Good,8.5
MADE Hotel,Awesome,9.1
Hilton Garden Inn Times Square Central,Very Good,8.4
Hyatt House New York/Chelsea,Excellent,8.8
Global Luxury Suites at 90 Washington,,
"Club Quarters Hotel, Opposite Rockefeller Center",Very Good,8.1
Cassa Hotel Times Square,Very Good,8.1
Hilton Garden Inn New York Manhattan Midtown East,Very Good,8.3
Westin New York at Times Square,Very Good,8.0
Millennium Hilton New York One UN Plaza,Very Good,8.4
Today House - Times Square North,Awesome,9.4
Hilton Garden Inn New York/Manhattan-Chelsea,Very Good,8.3
Sheraton New York Times Square Hotel,Good,7.6
Courtyard New York Manhattan/Times Square,Very Good,8.4
Dream Downtown,Good,7.9
AKA Sutton Place,Awesome,9.3
Cachet Boutique Hotel NYC,Very Good,8.0
The Peninsula New York,Excellent,8.6
Holiday Inn Manhattan 6th Ave - Chelsea,Good,7.6
"The Standard, High Line New York",Very Good,8.3
Hotel Hayden New York,Very Good,8.0
The Dominick Hotel,Very Good,8.5
"Hampton Inn Manhattan-SoHo, NY",Good,7.9
Broadway Plaza Hotel,Very Good,8.4
Hilton Garden Inn New York/Tribeca,Very Good,8.2
Hampton Inn Manhattan-Times Square North,Very Good,8.2
Andaz 5th Avenue-a concept by Hyatt,Excellent,8.7
Four-Bedroom Chelsea Apartment,,
Hampton Inn Manhattan-35th Street/Empire State Building,Very Good,8.5
Sheraton Tribeca New York Hotel,Good,7.8
"Hotel Shocard, New York",Very Good,8.3
Room Mate Grace Boutique Hotel,Excellent,8.7
Hyatt Herald Square New York,Very Good,8.3
Hyatt Place New York/Midtown-South,Excellent,8.6
Residence Inn by Marriott New York Manhattan/Central Park,Very Good,8.3
"The Langham, New York, Fifth Avenue",Awesome,9.2
The Jewel Facing Rockefeller Center,Excellent,8.7
Kimpton Hotel Eventi,Excellent,8.8
Hampton Inn Times Square Central,Excellent,8.8
Night Hotel Times Square,Good,7.6
Hyatt Centric Times Square New York,Excellent,8.8
Cambria Hotel & Suites New York - Chelsea,Excellent,8.8
Residence Inn by Marriott New York Manhattan/ Midtown Eastside,Excellent,8.9
The Iroquois New York,Excellent,8.9
Home NYC,Exceptional,9.6
Sixty LES,Very Good,8.3
Warwick New York,Very Good,8.5
Hotel 50 Bowery,Awesome,9.2
Kimpton Ink48 Hotel,Excellent,8.7
Mondrian Park Avenue,Excellent,8.9
Crowne Plaza Times Square,Very Good,8.2
Sofitel New York,Excellent,8.6
Hilton New York Grand Central,Good,7.5
Eli place Room C,,
Hampton Inn Manhattan Chelsea,Excellent,8.6
Arlo SoHo,Excellent,8.7
Club Quarters Hotel Midtown - Times Square,Very Good,8.0
City Club Hotel,Very Good,8.4
Hotel Hugo,Very Good,8.1
The Evelyn,Very Good,8.2
Trump International New York,Excellent,8.8
JW Marriott Essex House New York,Good,7.9
Club Quarters Hotel World Trade Center,Excellent,8.6
Hampton Inn Manhattan - Times Square South,Very Good,8.3
Holiday Inn Manhattan Financial District,Very Good,8.2
Wellington Hotel,Good,7.6
The Bernic Hotel,Excellent,8.7
Hotel Central Fifth Avenue,Good,7.7
The Marcel at Gramercy,Very Good,8.1
RIU Plaza New York Times Square,Excellent,8.7
Hampton Inn Manhattan/Downtown- Financial District,Very Good,8.3
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,Excellent,8.8
New York Marriott Marquis,Very Good,8.2
DoubleTree by Hilton New York Times Square South,Good,7.4
The Frederick Hotel,Very Good,8.3
AKA Central Park,Excellent,8.6
Grand Hyatt New York,Good,7.8
Hotel Wales,Very Good,8.1
Home Away From Home,Good,7.9
IBEROSTAR 70 Park Avenue Hotel,Very Good,8.3
"Park South, a Joie de Vivre Hotel",Excellent,8.6
Oakwood at the Nash,Excellent,8.7
New York Hilton Midtown,Good,7.9
The Kimpton Muse Hotel,Excellent,8.8
The Gotham Hotel,Very Good,8.1
"LIFE Hotel, NoMad",Very Good,8.1
Conrad New York,Awesome,9.1
Empire Hotel,Good,7.5
Ameritania at Times Square,Very Good,8.3
TownePlace Suites by Marriott New York Manhattan/Times Square,,
The Watson Hotel,Good,7.8
East Village Hotel,Very Good,8.0
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,Excellent,8.6
The Time New York,Very Good,8.3
The London NYC,Very Good,8.3
TRYP by Wyndham Times Square South,Very Good,8.4
AKA Times Square,Excellent,8.8
Archer Hotel New York,Awesome,9.0
Oakwood at 830 8th Ave,,
The Coltrane,,
SIXTY SoHo,Excellent,8.6
Hotel on Rivington,Very Good,8.4
Moderne Hotel,Very Good,8.5
Hotel 32 32,Very Good,8.0
Chelsea Duplex Apartment,Awesome,9.3
Sweet Home,Exceptional,10
Sanctuary Hotel New York,Excellent,8.7
"Designer luxurious 2 Bedroom Apartment with Gym, Doorman, Midtown EAST",,
Andaz Wall Street-a concept by Hyatt,Excellent,8.7
Oakwood Aurora Midtown East,,
FiDi 3bed/2baths,,
Fantastic 2 Bedroom Apartment in Times Square,,
The Mercer,Excellent,8.9
Lombardy Hotel,Very Good,8.5
The Standard - East Village,Excellent,8.8
Manhattan Brownstone,,
DoubleTree Suites by Hilton NYC - Times Square,Very Good,8.2
Millennium Broadway Times Square,Good,7.8
Your Home in Harlem,Excellent,8.8
Midtown East Deluxe 2 Bedroom Apartment,Good,7.5
NoMo SoHo,Very Good,8.3
Hotel Belleclaire,Good,7.9
Luxury Studio Apartment - Midtown West B,Very Good,8.3
Orchard Street Hotel,Very Good,8.3
Luxury Suites in Murray Hill,,
citizenM New York Bowery,,
"Hudson New York, Central Park",Good,7.2
11 Howard,Very Good,8.5
Midtown Lodging,Very Good,8.3
Charming 2 Bedroom in the heart of Midtown East,,
Pod 39,Very Good,8.2
Amsterdam Court Hotel,Good,7.4
Dylan Hotel NYC,Good,7.9
Two Bedroom Apartment - West 58th Street,Very Good,8.3
Suite Di Classe - East Village free street parking & wifi,,
Days Hotel Broadway at 94th Street,Review score,6.9
The Assemblage John Street,,
Cozy Studio located in Midtown East,,
"The Lexington New York City, Autograph Collection",Very Good,8.1
3/2 Central Park #4,,
Bentley Hotel,Good,7.7
Midtown 4 Bedroom Residence 2,,
Modern Three Bedroom Apartment - Upper East Side,Good,7.9
Soho Penthouse,,
Wyndham New Yorker Hotel,Good,7.8
Little Italy Penthouse,Excellent,8.8
Chambers Hotel,Excellent,8.9
Studios Midtown Manhattan,Very Good,8.4
The French Quarters,Awesome,9.2
Newly Renovated Three Bedroom Lower East Side,Very Good,8.2
One Bedroom Apartment - Two Columbus Place,Good,7.3
Times Square Studio 46,Very Good,8.5
Quaint one bedroom close to the UN,,
Central Two Bedroom Apartment In Times Square,Review score,6.1
The Roxy Hotel Tribeca,Excellent,8.9
Murray Hill East Suites,Very Good,8.4
The Gatsby Hotel,,
Cassa Hotel 45th Street New York,Excellent,8.7
Seton Hotel,Very Good,8.2
Hotel Alexander,Very Good,8.0
Carnegie Hotel,Excellent,8.9
NYC Apartment,Awesome,9.2
Hotel Edison Times Square,Good,7.5
Times Square HighLine Two Bedroom,,
Manhattan Studio Apartment-Times Square,Exceptional,9.6
NYC Penthouse,,
The Roger,Very Good,8.4
Studio-Plus Apartment,Good,7.0
"The Pierre, A Taj Hotel, New York",Excellent,8.9
Garden House with 2 Bedroom,Excellent,8.6
RIFF Downtown,Good,7.7
2 Bedroom Apartment in Hell's Kitchen,,
6 Columbus - A SIXTY Hotel,Good,7.5
Lotte New York Palace,Excellent,8.8
Full Studio in Central New York,Excellent,8.6
8th Avenue Apartment Apt C,,
The Redbury New York,Very Good,8.1
Studio Plus - Cozy Apartments,Review score,6.9
Sensational 3 Bedroom Apartment with direct park views,,
Sutton Court Hotel Residences,Exceptional,9.6
3 BEDROOM 1 BATHROOM TIMES SQUARE D,Very Good,8.2
West 86th Apartment,,
Pod Times Square,Excellent,8.9
The Marlton Hotel,Excellent,8.8
Three Bedroom Apartment on 9th Avenue,Excellent,8.8
Tiffiny Two Bedrooms,Excellent,8.8
Apartment Soho Elizabeth 2,,
The William,Awesome,9.0
Studio Plus - Couple's Studio,Good,7.0
Spectacular Duplex 4 Bedroom 3 Bath Lincoln Center,,
Cassa NYC 70W45,Awesome,9.0
The Kitano Hotel New York,Excellent,8.7
Midtown Suite New York,Review score,6.0
CITY ROOMS NYC - Times Square,Excellent,8.7
Freehand New York,Awesome,9.1
Beautiful Newly Renovated 3 Bedroom Apartment,,
Il ponte LES suite/ free wifi & street parking,,
2nd Avenue Apartment,,
Fifty NYC-an Affinia hotel,Very Good,8.3
Cosy 1 Bed Apartment Midtown West near Hell's Kitchen & Macy's,,
Peck Slip Apartment,Exceptional,9.5
The Riverside - One Bedroom Apartment,,
Bloc Away From Central Park Three-Bedroom Apartment with Private Balcony,Review score,6.5
Ultra design and luxurious Apartment - Doorman and Gym,,
The Whitby Hotel,Exceptional,9.5
AC New York Downtown by Marriott,,
Historic Harlem Duplex,Very Good,8.5
The Elizabeth,,
"TIMES SQUARE, MIDTOWN, HELLS KITCHEN. AMAZING 2BD!",,
Luxury 2200ft² 4Bed in East Village,,
Very Central West Village Apartment,,
The Ideal 3 Bedroom Getaway by Central Park UWS,Review score,6.8
Comfortable One Bedroom Apartment - Times Square,Good,7.3
Premium Apartments-Time Square,Very Good,8.4
Two-Bedroom WeStreetApartment #2,,
Live like a New Yorker - 2 Bedroom Apartment near Times Square,,
Aparthotel Manhattan Residence.20,,
Apartments at Avenue C,Review score,6.5
Three-Bedroom Apartment West 25th Street,Good,7.1
Apartment #4-C,,
Spacious Apartment,,
East 7th Street III,,
Arlo NoMad,Excellent,8.9
Hotel Marrakech,Review score,6.8
TIMES SQ LUXURY 3BR DPLX,,
NOVO360,,
Best Times Square Location Hells Kitchen Midtown West,Review score,4.2
Bridgestreet at Centria,,
Courtyard New York Manhattan/Midtown East,Very Good,8.3
Sunny 3BR Apt in Chelsea,,
The Santana,,
Manhattan Studio Apartments,Good,7.3
The Gregory,Good,7.9
Sunny Three Bedroom Apartment Lower East Side,Good,7.3
St Marks Hotel,Good,7.0
Places4stay Times Square Luxury II,,
Riverside Tower Hotel,Good,7.2
Midtown 60th Street Apartment,Review score,6.7
The Modern @ Rockefeller,Very Good,8.5
"NYC Charmer, Central Park/Lincoln Center",,
Hotel Wolcott,Good,7.8
Viceroy Central Park New York,Very Good,8.0
"The Paul, an Ascend Hotel Collection Member",Good,7.8
One Bedroom Apartment - Upper East Side,,
Artsy 1Bed/1Bath in Prime Lower East Manhattan,,
Jenny's Apartments - Upper East Side,Awesome,9.0
2 Bedrooms Suite in Financial Disctrict,Very Good,8.3
NOVO205,,
Times Square West Midtown Apartment,Good,7.1
Heart of Hell's Kitchen 4 bedroom apartment,,
Midtown Times Square Apartment,Very Good,8.0
East Village Lovely Apartment,,
The New York EDITION,Awesome,9.0
West Village 3 bedrooms with 4 baths,,
Studio Plus - One-Bedroom APT,Good,7.2
Two Bedroom Apartment - Between Park Ave & Lexington Avenue - Midtown East,Review score,6.6
NOVO417,,
CITY ROOMS NYC - Soho,Very Good,8.2
The Alicia,,
Times Square Perfect Home,Awesome,9.2
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,Excellent,8.8
Charming Studio by Grand Central,Good,7.5
Greenwich Street V,,
Lincoln Center Luxury Apartments,Good,7.5
Leo House,Very Good,8.2
Q&A Residential Hotel,Awesome,9.1
Two Bedroom Apartment In Midtown West,,
Mid Town East 28th Street Apartments Next to Times Square,Review score,6.7
Broome Street Apartment - Lower East Side #19,Good,7.4
Soul Food (Mont Morris),Excellent,8.9
Exclusive Studio,Good,7.2
Apartment near Times Square,Very Good,8.5
Club Quarters Hotel Wall Street,Very Good,8.2
Oakwood 6th Avenue,,
Full Floor Apt in the Heart of the East Village,,
Lower East Side 3 Bedroom,Very Good,8.1
Lovely Apartment in Midtown West,,
HighLine Studio,Excellent,8.7
Arris Apartment,Exceptional,9.6
The GEM Hotel - Chelsea,Good,7.7
PermaGO City Hall,Excellent,8.8
Hotel Pennsylvania,Review score,5.7
Today House Suites,Excellent,8.7
West 45th Street Apt 209,,
East 83rd Street Apt 2C,,
East 51st Street Apt 2L,,
West 15th Street Apt 1A,,
1st Ave. Apt 4,,
Elizabeth Sreet Apt 3,,
Longacre House,,
"Brand New, Luxury Alcove Studio , full service building",,
Macy Empire Apartments,Good,7.1
Places4stay Upper West Side Comfort,,
NY Away - The ideal Family & Friends 4 Bedrooms / 4 Bathrooms in Manhattan,Review score,6.7
East 28th Street Apt 13,,
East 28th Street Apt 12,,
East 28th Street Apt 17,,
West 46th Street Apt 4C,,
West 47th Street Apt 3C,,
Thompson Street Apt 4D,,
West 45th Street Apt 3R,,
West 49th Street Apt 3A,,
Madison Ave. & 92nd Street Apt 2A,,
West 47TH Street Apt 3B,,
East 51st Street Apt 2F,,
East 37th Street Apt 3R,,
East 37th Street Apt 3F,,
East 7th Street Apt 1A,,
East 15th Street Apt 4F,,
East 15th Street Apt 3R,,
West 18th Street Apt 2R,,
Sullivan Street Apt 5R,,
Sullivan Street Apt 3R,,
West 15th Street Apt 3RR,,
West 15th Street Apt 3F,,
West 15th Street Apt 2F,,
East 37th Street & Lexington Ave. Apt 3F,,
Delancey Street Apt 14,,
Elizabeth Street & Kenmare St. Apt 3,,
East 14th St. Apt 1B,,
Mulberry & Grand Street Apt 1,,
Elizabeth Street & Kenmare Street Apt 1,,
The Bowery Hotel,Awesome,9.1
Studio,,
Crosby Street Hotel,Awesome,9.4
Studio in Times Square,Review score,6.1
668 6th Ave 3rd floor,Review score,6.6
Luxury Apartments Upper East Side,,
Mott Street Apt 1A,,
East 28th Street Apt 22,,
East 28th Street Apt 23,,
West 89th Street Apt 2F,,
West 47th Street Apt 3A,,
West 49th Street Apt 5A,,
East 51st Street Apt 2R,,
East 51st Street Apt 1F,,
West 15th Street 4B,,
East 37th Street Apt 1R,,
West 18th Street 4M,,
East 51st Street Apt 4R,,
East 7th Street Apt 1B,,
Sullivan Street Apt 4F,,
East 15th Street Apt 3F,,
West 18th Street Apt 3F,,
Sullivan Street & West 3rd Apt 3F,,
Sullivan Street Apt 1R,,
East 37th Street & Lexington Ave. Apt 2R,,
East 37th Street & Lexington Ave. Apt 1R,,
Mulberry Street Apt 7 - Mulberry,,
Mulberry Street Apt 2,,
Delancey St. Apt 16,,
Delancey St. Apt 4,,
Lexington Ave Apt 3D,,
Mulberry Street Apt 16,,
Lexington Ave. Apt 6D,,
Grant Street Apt 2F,,
Elizabeth Street Apt 9,,
Spring Street Apt 1F,,
Elizabeth & Spring St. Apt. 1,,
Lafayette Street Apt 7,,
2nd Avenue Apt 4,,
Delancey Street Apt 201,,
The Mark New York,Awesome,9.0
Heart of Lower Manhattan,,
Shoreham Hotel,Good,7.5
Two Bedroom Apartment - East 34th Street,Very Good,8.0
Furnished room,,
AKA Wall Street,Awesome,9.2
PermaGO Seaport Studio,Very Good,8.3
West 51st Street Apt 1A,,
Thompson Street Apt 3C,,
Lexington Ave Apartment 3,,
East 61st Street Apt 3,,
East 82nd Street Apt 4D,,
Mulberry Street Apt 7,,
East 89th Street Apt 4B,,
East 51st Street Apt 4D,,
East 52nd Street Apt 1E,,
West 49th Street Apt 2A,,
East 52nd Street Apt 4F,,
East 37th Street Apt 4R,,
Sullivan Street Apt 3F,,
East 15th Street Apt 2F,,
Sullivan Street & West 3rd Apt 4R,,
East 37th Street & Lexington Ave. Apt 3R,,
West 12th Street Apt 3B,,
West 12th Steet Apt 4B,,
Elizabeth Street Apt 18,,
Elizabeth Street Apt 1,,
Mulberry Street Apt 14,,
Mulberry Street Apt 9,,
Delancey Street Apt 18,,
Spring Street Apt 6,,
Grant Street Apt 2G,,
Elizabeth Street & East Houston Street Apt 12,,
Lafayette Street Apt 2,,
Elizabeth & Spring St. Apt. 3,,
Elizabeth & Spring St. Apt. 2,,
Elizabeth Street & Kenmare Street Apt 3,,
1st Ave Apt 2,,
Lafayette Street Apt 1,,
1st Ave Apt 11,,
Bowery & Broome Street Apt 4F,,
The Baxter House (sleeps 6),Review score,6.4
Large 1 Bedroom Chinatown,Exceptional,9.5
Midtown West,,
The Gallery House,Excellent,8.6
Lexington Ave Apartment 4A,,
West 49th Street Apt 4A,,
Sullivan Street Apt 1C,,
West 15th Street 4A,,
East 7th Street Apt 1M,,
Sullivan Street Apt 2F,,
East 37th Street Apt 5R,,
East 37th Street Apt 5F,,
East 37th Street & Lexington Ave. Apt 4F,,
Delancey St. Apt 20,,
Lexington Ave Apt 4C,,
West 106th St. Apt 4B,,
Elizabeth Street Apt 3,,
Mulberry Street Apt 11,,
Prince Street Apt 12,,
Ludlow St. Apt 3A,,
Lafayette Street Apt 6,,
Kenmare Street Apt. 9,,
Elizabeth Street & Kenmare Street Apt 2,,
1st Ave Apt 9,,
Broom St. Apt 5W,,
East 28th Street Apt 5,,
Bowery Apt 2F,,
Apartment with stunning views near 5th Ave,Exceptional,9.9
East 51st Street Apt 4G,,
First Ave & 92nd Street Apt 3,,
West 47th Street Apt 2B,,
West 47th Street Apt 1C,,
East 7th Street Apt 1R,,
West 18th Street Apt 1F,,
Sullivan Street & West 3rd Apt 4F,,
West 12th Street Apt 3C,,
Elizabeth Street Apt 8,,
West 12th Street Apt 3A,,
Mulberry Street Apt 15,,
Lexington Ave Apt 6F,,
Lexington Ave Apt 4E,,
Lexington Ave Apt 2F,,
Lexington Ave Apt 2E,,
Mulberry Street Apt 1,,
Prince Street Apt 2,,
Prince Street Apt 11,,
1st Ave Apt 7,,
Spring St. Apt 2F,,
Chrystie Street Apt 5,,
"Brand New 2BR 1BA, W/D, Heart Of Lower East side, 4 min walk to SOHO, MODERN!",,
Bryant Park Studio Apartment Times Square South,Good,7.9
Uptown Studio,,
NY Away - Luxury Apartments in the Financial District,Review score,6.4
Two Bedroom Luxury Apartment - Union Square,Very Good,8.1
Modern Apartment - Greenwich Village With Shared Roofdeck & Terrace,Good,7.9
Mandarin Oriental New York,Excellent,8.6
Downtown Grand Apartment,,
West 49th Street Apt 1B,,
East 28th Street Apt 11,,
Sullivan Street Apt 1F,,
West 18th Street 3M,,
East 7th Street Apt 2F,,
Broadway Suite New York,Good,7.6
East 85th Street Apt 2,,
East 61st Street Apt 2,,
West 18th Street Apt 2F,,
West 108th St. Apt 2W,,
Spring Street Apt 5,,
Brownstone in Upper East Side,Review score,6.4
Four-Bedroom on E 62nd Street Apt 2,,
302-19,,
Midtown West Hotel,Review score,6.7
Thompson Street Apt 3A,,
West 47th Street Apt 1A,,
East 51st Street Apt 3F,,
Broome St. Apt 3W,,
One-Bedroom on E 62nd Street Apt G,,
Harlem Grand,,
Aparthotel Manhattan Residence.5,Awesome,9.2
East 85th Street Apt 1D,,
East 82nd Street Apt 5B,,
East 7th Street Apt 1C,,
West 15th Street 1F,,
Mulberry Street Apt 12,,
West 119th B&B,Awesome,9.2
HI NYC Hostel,Very Good,8.5
East 82nd Street Apt 5C,,
East 51st Street Apt 4H,,
Apartment #3E,,
Cozy Manhattan Apartment,,
Gracious Apartment in Midtown West,,
West 15th Street 4D,,
The Townhouse Inn of Chelsea,Excellent,8.8
Da Vinci Hotel,Good,7.6
Upper East Suites,Very Good,8.0
Central Park Apartment,Good,7.4
Huge 2 Bed 2 Bath Apartment in Building with Elevator,,
UWS furnished One bedroom,,
East 52nd Street Apt 1B,,
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,Very Good,8.5
East 37th Street & Lexington Ave. Apt 4R,,
Chic and Beautiful Home center of the World NYC,,
The Greenwich Hotel,Awesome,9.4
Full Studio Near The Central Park,Very Good,8.1
The Gallivant Times Square,Good,7.3
Global Luxury Suites in Murray Hill,,
Four Bedroom Apartment - Eldridge St. #38,Review score,6.9
Manhattan Studio Apartment mid-west,Very Good,8.0
Dream Midtown,Very Good,8.2
West 15th Street 4C,,
NY Away - Hells Kitchen/ Times Square 1-Bedroom 12A,Review score,6.4
Belnord Hotel,Good,7.9
Hotel 48LEX New York,Very Good,8.5
Studio Plus - Apartment Suites,Good,7.0
Central Park Studios,Good,7.4
Greenwich Village 2 bed 1 bath,,
Mulberry Street Apt 13,,
Anthem,,
Luxury Two Bedroom Apartment - Midtown West G,,
The Ideal 2 Bedroom Getaway by Central Park UWS,Review score,6.3
Hello Broadway,Review score,6.5
Three- Bedroom Apartment on 5th Ave,,
The Hendrix,,
Modern 2 Bedroom Apartment NYC,,
2 Bedroom Apartment Hell's Kitchen,Good,7.0
NOVO417-2B,,
Luxury Apartment Time Square,,
Apartment in the Heart of Manhattan,Review score,6.5
"Near the Central Park, in New York",Very Good,8.1
East Village Convenient Apartment,,
28th Street & Park Avenue Apartments,Review score,5.3
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,Excellent,8.6
East Village: Newly Renovated 2 Bedroom,Review score,6.7
Stylish 2 Bed in Soho,,
The Sherry Netherland,Awesome,9.4
st nicholas terrace,,
Perfect Retreat in Downtown,,
Exquisite 2 Bedroom 2 Baths all modern and High end Furniture,,
Studio Plus - Midtown Spacious Apartment,Good,7.6
Best Western Bowery Hanbee Hotel,Good,7.9
Studio Apartments - West 31st Street,Review score,6.2
BRAND NEW ULTRA MODERN NOMAD PARK AVENUE(31 AND PARK) 800 FT 2BR 1BA W/D ELEVATOR!,Good,7.7
Spacious 1 bedroom with roofdeck in an elevator building,Awesome,9.0
Aparthotel Manhattan Residence.6,,
New private studio-apartment,Good,7.7
Nice studio-apartment in Financial District,Very Good,8.5
Beautiful Downtown Apartments NYC,,
West 80th Apartment,,
Two Bedroom Apartment with City View - Lincoln Center,Good,7.8
Global Luxury Suites at The Liane,,
Stunning Duplex By Upper East Side,,
Park Ave Apartments Midtown Next to Times Square,Review score,6.5
Crowne Plaza HY36 Midtown Manhattan,Excellent,8.9
Chelsea Cabins,Good,7.3
Apartment in Central New York,Good,7.7
The Maritime Hotel,Excellent,8.9
Euro - Lovely Apartment,,
Pod 51,Very Good,8.0
339 East Apartment #232482 Apts,,
INNSIDE by Melià New York Nomad,Excellent,8.7
3 Bedroom modern apartment - Times Square,Very Good,8.1
Abington House,,
Full Apartment in the Heart of New York,Very Good,8.5
Hotel 99,Excellent,8.7
Time Square,,
Private Room in Time Square,Awesome,9.2
Luxury 2 Bedrooms Upper West Side Manhattan,,
Luxurious Two Bedroom Apartment in Doorman Building - Lincoln Center,Excellent,8.6
Hotel Elysee by Library Hotel Collection,Awesome,9.2
Massive 3 Bedroom Loft in SoHo,,
Library Hotel by Library Hotel Collection,Awesome,9.3
329 East Apartment #232480 Apts,,
Global Luxury Suites at Sky,,
The Madison House (Sleeps 6),Excellent,8.9
East 81 Studio #232478 Apts,,
CITY ROOMS NYC - Chelsea,Very Good,8.0
339 East Apartment #232483 Apts,,
